geo,EU_OTH_other,EU_OTH_primary,EU_OTH_secundary,EU_OTH_tertiary,FOR_other,FOR_primary,FOR_secundary,FOR_tertiary,NAT_other,NAT_primary,NAT_secundary,NAT_tertiary,NEU_other,NEU_primary,NEU_secundary,NEU_tertiary,OTH_other,OTH_primary,OTH_secundary,OTH_tertiary,TOTAL_other,TOTAL_primary,TOTAL_secundary,TOTAL_tertiary,UNK_other,UNK_primary,UNK_secundary,UNK_tertiary,pct_native_tertiary,pct_fborn_primary,pct_fborn_secundary,pct_fborn_tertiary,pct_non_eu_primary,pct_non_eu_secundary,pct_non_eu_tertiary,pct_eu_fborn_primary,pct_eu_fborn_secundary,pct_eu_fborn_tertiary
BE3,392133,49407,103429,30527,650968,73995,157952,63105,3815173,260734,1420300,582181,258835,24588,54523,32578,39745,3485,5261,3007,4506142,338229,1583559,648310,256,15,46,17,0.08227264762077036,0.010456824528280556,0.02232145885385459,0.008917871638045064,0.0034747266910110453,0.007705080664307598,0.004603857415802742,0.00698209783726951,0.01461637818954699,0.004314014222242321
BE31,36401,2522,8342,6401,70819,4165,15917,14297,410643,19434,136601,91610,34418,1643,7575,7896,2781,126,458,415,484265,23725,152981,106325,22,0,5,3,0.11939329802318792,0.0054281528901493035,0.020744276003002753,0.018632965635165567,0.002141285761948453,0.009872330886646092,0.010290683126199015,0.0032868671282008507,0.01087194511635666,0.008342282508966552
BE32,168489,24818,44728,8781,253125,33453,62082,17272,1429138,109260,539143,186163,84636,8635,17354,8491,7467,742,938,621,1689794,143465,602170,204061,64,10,7,5,0.07052991297561272,0.01267403930304718,0.023520452814748304,0.006543688364040023,0.0032714653209521536,0.006574754971604363,0.0032169093271806294,0.009402573982095026,0.01694569784314394,0.0033267790368593933
BE33,126236,16109,34220,9531,226735,27721,55404,19884,1130025,75885,428859,174089,100499,11612,21184,10353,19500,1836,2769,1377,1376405,105447,487063,195357,145,5,31,7,0.08043767142022815,0.012808464000827992,0.025599370134622636,0.0091873849497660191,0.0053653145260854455,0.009788048821959532,0.004783594668322651,0.007443149474742546,0.015811321312663103,0.004403790281443367
BE34,33853,2459,7855,2705,47951,3460,10558,4511,301123,20542,108659,45268,14098,1001,2703,1806,3522,228,344,232,352606,24230,119561,50013,10,0,0,2,0.08284621438114237,0.0063322413572225985,0.01932248677732838,0.00825570542266796,0.0018319576874508154,0.0049468347943851685,0.0033052103731630094,0.004500283669771783,0.014375651982943211,0.0049504950495049506
BE35,27154,3499,8284,3109,52338,5196,13991,7141,544244,35613,207038,85051,25184,1697,5707,4032,6475,553,752,362,603072,41362,221784,92554,15,0,3,0,0.08870826432144452,0.005419432357223615,0.014592624732470284,0.007448068988247467,0.0017699724230578282,0.005952405785734252,0.004205379381125023,0.003649459934165787,0.008640218946736033,0.0032426896071224443
BEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BG,29547,1988,11521,5096,88316,2571,40730,25669,8402857,344047,4501733,1322929,58769,583,29209,20573,0,0,0,0,8491337,346618,4542535,1348650,162,0,71,51,0.08981712442138509,1.7455194261172072e-4,0.0027652666754474464,0.0017427358284326172,3.958140122233885e-5,0.0019830757260776936,0.0013967550040260327,1.3497054138938186e-4,7.821909493697527e-4,3.459808244065845e-4
BG3,17272,1802,7194,2102,42389,2082,20286,10305,4308679,197437,2355959,567503,25117,280,13092,8203,0,0,0,0,4351100,199519,2376263,577816,29,0,18,8,0.07561969848753408,2.774262202156569e-4,0.0027031067739168185,0.001373139865188446,3.7309962372902944e-5,0.0017445072406644477,0.0010930486476604388,2.4011625784275397e-4,9.585995332523707e-4,2.800912175280071e-4
BG31,2094,10,517,259,6230,65,2915,1558,965653,38479,562908,116458,4136,55,2398,1299,0,0,0,0,971888,38544,565827,118017,5,0,3,0,0.06873614452426877,3.836446954333296e-5,0.0017204989033663936,9.195668238232732e-4,3.246224345974328e-5,0.001415353814844807,7.666991682583003e-4,5.902226083589686e-6,3.051450885215868e-4,1.5286765556497288e-4
BG32,4334,490,1810,526,9403,524,4626,2059,972970,41968,559960,130710,5069,34,2816,1533,0,0,0,0,982375,42492,564586,132771,0,0,0,0,0.07589605068794768,3.0425775044361247e-4,0.002686061743420136,0.001195547152983584,1.974191510511989e-5,0.0016350950863534591,8.90128113416141e-4,2.8451583533849255e-4,0.0010509666570666766,3.0541903956744304e-4
BG33,7369,1264,3531,802,15828,1344,7660,3792,1108969,54557,577469,162549,8459,80,4129,2990,0,0,0,0,1124810,55901,585137,166346,13,0,8,5,0.08412664566808509,6.955823276544695e-4,0.003964405230530682,0.0019625358530251102,4.1403709979432704e-5,0.0021369489813134706,0.0015474636604812975,6.541786176750368e-4,0.0018274562492172112,4.1507219254381287e-4
BG34,3475,38,1336,515,10928,149,5085,2896,1261087,62433,655622,157786,7453,111,3749,2381,0,0,0,0,1272027,62582,660713,160682,9,0,5,0,0.07318446533494372,6.910933374891698e-5,0.002358529947068744,0.0013432257083010979,5.148413453778379e-5,0.0017388650484878507,0.0011043578768870558,1.762519921113319e-5,6.196648985808932e-4,2.388678314140419e-4
BG4,12275,186,4327,2994,45927,489,20444,15364,4094178,146610,2145774,755426,33652,303,16117,12370,0,0,0,0,4140237,147099,2166272,770834,131,0,53,43,0.10456530760437968,6.768688848218312e-5,0.0028298379307356886,0.0021266694368921504,4.194095543988034e-5,0.0022308989400150214,0.0017122429663079862,2.5745933042302784e-5,5.989389907206674e-4,4.1442647058416416e-4
BG41,8047,89,2548,2426,32915,308,13979,12280,2386196,55867,1223464,540487,24868,219,11431,9854,0,0,0,0,2419226,56175,1237486,552809,114,0,42,41,0.12670546611854197,7.220392639325447e-5,0.003277073659257481,0.0028787799224323533,5.1339804805593273e-5,0.0026797502681860123,0.0023100567879192515,2.0864121587661193e-5,5.973233910714688e-4,5.687231345131018e-4
BG42,4228,97,1779,568,13012,181,6465,3084,1707982,90743,922310,214939,8784,84,4686,2516,0,0,0,0,1721011,90924,928786,218025,15,0,11,0,0.0726453031115209,6.11745651705148e-5,0.0021850473139634155,0.0010423334750600424,2.8390405935487533e-5,0.0015837790739725546,8.503602539724599e-4,3.2784159235027274e-5,6.01268239990861e-4,1.9197322108758236e-4
BGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,1180425,140015,542273,365516,1962091,220457,938685,538098,4726198,185981,3234443,1130582,781665,80442,396411,172583,108097,14639,61591,10693,6822053,425463,4246034,1681564,25668,4386,11314,2189,0.08581193301249614,0.01673283434207856,0.07124682184913163,0.040841999545506776,0.006105601818701531,0.030087861099342292,0.013099165593557673,0.010627232523377028,0.04115888484911782,0.02774290985262063
CH0,1180425,140015,542273,365516,1962091,220457,938685,538098,4726198,185981,3234443,1130582,781665,80442,396411,172583,108097,14639,61591,10693,6822053,425463,4246034,1681564,25668,4386,11314,2189,0.08581193301249614,0.01673283434207856,0.07124682184913163,0.040841999545506776,0.006105601818701531,0.030087861099342292,0.013099165593557673,0.010627232523377028,0.04115888484911782,0.02774290985262063
CH01,328841,46403,137856,98716,509572,62049,219491,156721,730354,44613,470918,186447,180730,15646,81635,58005,8835,1445,5052,760,1252108,108658,697063,344309,3348,551,1601,350,0.07761710609465401,0.02583073911657032,0.09137318505431412,0.065242296654064,0.006513364344596356,0.033984308978085354,0.024147238834738054,0.019317374771973966,0.05738887607622876,0.04109505781932595
CH02,183202,24742,88833,47596,319946,39115,160261,72549,1186202,44369,831926,257724,136744,14373,71429,24952,15060,1448,9646,1389,1527518,85912,1004503,332232,6309,980,2669,493,0.08735918160509666,0.013258580452279787,0.05432272432219893,0.02459150589882261,0.004871930892000956,0.024211866115963005,0.008457832019565008,0.008386649560278832,0.03011119717032776,0.016133334915165762
CH03,147373,12883,69876,49204,267908,26092,130367,72733,652390,17757,454097,155748,120536,13210,60491,23528,18195,2409,10054,1547,942139,46878,596150,230361,3645,619,1631,334,0.08578661414200167,0.014371576753429306,0.07180665899947564,0.04006162394631204,0.007276120225080528,0.03331868194817155,0.012959315416782335,0.007096007332302228,0.038487977051304086,0.027101757725576252
CH04,221127,20025,94891,87941,379592,35576,173427,126315,776072,17368,503431,234285,158463,15551,78534,38375,38346,4747,21966,5529,1198131,58537,700470,366471,4121,846,1647,310,0.10082806530702886,0.015310665434675111,0.07463691180400833,0.05436155566620718,0.006692606200096488,0.0337982853397452,0.016515257084991495,0.008618059234578623,0.04083776573425219,0.03784672894622116
CH05,145453,13627,79225,37482,241695,25348,134571,48734,700446,26204,508453,139473,96240,11721,55346,11252,16611,2588,8551,825,962166,54440,653045,189309,3414,301,1470,163,0.07502743469466798,0.013635581185178809,0.07239047639540389,0.026215733528424497,0.006305138356930757,0.0297725610018505,0.006052846753023196,0.007330442828248053,0.042617915393553384,0.0201628867754013
CH06,74076,6757,33827,26528,136955,13348,68184,37383,497025,25804,341885,112782,62879,6590,34357,10855,7948,1401,4545,284,645945,41429,416588,150837,4016,876,1975,330,0.08988053066666454,0.010637560278578482,0.05433858331095259,0.029792022467343374,0.005251837146825906,0.027380480857890386,0.008650787895113083,0.005384926191366107,0.026958102453062203,0.021141234572230293
CH07,80353,15578,37766,18050,106423,18929,52384,23663,183709,9865,123734,44123,26071,3351,14619,5614,3067,601,1775,224,294047,29608,178214,68045,815,212,321,0,0.07742045291043911,0.03321378313219187,0.09191562235705739,0.04152029955396779,0.005879834501345817,0.02565123860793032,0.009850609039258554,0.027333948630846056,0.06626613839982874,0.03167144516541092
CHZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CY,119101,4929,60837,28255,218424,13251,110219,52038,790193,90415,259437,136203,99323,8322,49382,23783,0,0,0,0,1018753,103754,369967,188340,10136,88,311,98,0.08103395140687786,0.007883680169251327,0.06557477507921756,0.030959999143272247,0.0049511724676258055,0.02937981240042027,0.014149691756494175,0.002932507701625522,0.0361949626787973,0.01681030738677807
CY0,119101,4929,60837,28255,218424,13251,110219,52038,790193,90415,259437,136203,99323,8322,49382,23783,0,0,0,0,1018753,103754,369967,188340,10136,88,311,98,0.08103395140687786,0.007883680169251327,0.06557477507921756,0.030959999143272247,0.0049511724676258055,0.02937981240042027,0.014149691756494175,0.002932507701625522,0.0361949626787973,0.01681030738677807
CY00,119101,4929,60837,28255,218424,13251,110219,52038,790193,90415,259437,136203,99323,8322,49382,23783,0,0,0,0,1018753,103754,369967,188340,10136,88,311,98,0.08103395140687786,0.007883680169251327,0.06557477507921756,0.030959999143272247,0.0049511724676258055,0.02937981240042027,0.014149691756494175,0.002932507701625522,0.0361949626787973,0.01681030738677807
CYZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CZ,453092,4473,259826,51853,904571,6019,383003,94325,11459021,23132,6765511,1135070,451479,1546,123177,42472,0,0,0,0,12444563,29488,7167227,1231842,80971,337,18713,2447,0.05437950819043823,2.883612991253823e-4,0.01834910161969078,0.0045189698521351865,7.406655066420353e-5,0.005901226074491978,0.0020347700774967998,2.1429474846117877e-4,0.012447875545198802,0.0024841997746383867
CZ0,453092,4473,259826,51853,904571,6019,383003,94325,11459021,23132,6765511,1135070,451479,1546,123177,42472,0,0,0,0,12444563,29488,7167227,1231842,80971,337,18713,2447,0.05437950819043823,2.883612991253823e-4,0.01834910161969078,0.0045189698521351865,7.406655066420353e-5,0.005901226074491978,0.0020347700774967998,2.1429474846117877e-4,0.012447875545198802,0.0024841997746383867
CZ01,77667,174,28160,19661,267213,574,65837,41506,1243525,1334,638148,244573,189546,400,37677,21845,0,0,0,0,1541027,1970,707381,287214,30289,62,3396,1135,0.09637995390906025,2.2619869545616473e-4,0.025944675109316234,0.016356451312898212,1.5762975293112525e-4,0.014847540502965016,0.008608554881951077,6.856894252503949e-5,0.011097134606351217,0.0077478964309471345
CZ02,51542,385,28426,6205,107308,553,43371,11278,1433217,2502,839224,129191,55766,168,14945,5073,0,0,0,0,1549244,3092,885367,140719,8719,37,2772,250,0.05010467642612419,2.1447226249233058e-4,0.01682075315832707,0.004373993085693498,6.515613037741688e-5,0.005796180764824377,0.001967482436932356,1.4931613211491369e-4,0.011024572393502692,0.0024065106487611413
CZ03,46958,514,25623,3165,83980,689,39049,5576,1330041,2763,808759,116197,37022,175,13426,2411,0,0,0,0,1421598,3487,850432,121957,7577,35,2624,184,0.0484664275816964,2.8738580689509043e-4,0.01628755932285397,0.0023257812180653473,7.299349231733066e-5,0.005600060730585608,0.0010056417712976241,2.1439231457775975e-4,0.010687498592268363,0.001320139446767723
CZ04,64041,1090,38794,2569,117413,1469,57507,6369,1215282,3900,722774,72044,53372,379,18713,3800,0,0,0,0,1342361,5452,782722,78577,9666,83,2441,164,0.03261219892880035,6.649730751541796e-4,0.026031726775283464,0.0028830588942525322,1.715621480486277e-4,0.008470824476079076,0.0017201481862395389,4.93410927105552e-4,0.017560902299204387,0.0011629107080129934
CZ05,56477,649,35705,3751,97689,803,49828,6572,1669634,3443,1008356,135771,41212,154,14123,2821,0,0,0,0,1776191,4293,1060935,142545,8868,47,2751,202,0.04550021380954998,2.691051232521572e-4,0.016698592878466364,0.002202439439617904,5.160920171959179e-5,0.0047329659473103565,9.453867405907042e-4,2.174959215325654e-4,0.011965626931156007,0.0012570526990272
CZ06,51855,374,30363,8150,96810,517,44256,11911,1862356,3204,1115951,193859,44955,143,13893,3761,0,0,0,0,1966133,3748,1162213,206052,6967,27,2006,282,0.05807385297108036,1.5487638946888482e-4,0.013257658592524113,0.0035681483074736695,4.2838150278627716e-5,0.004161891061685139,0.0011266733090763556,1.120382391902571e-4,0.009095767530838975,0.002441474998397314
CZ07,37558,418,24712,4056,52057,481,30232,5436,1364023,2746,832853,123426,14499,63,5520,1380,0,0,0,0,1420169,3244,864362,128967,4089,17,1277,105,0.051071235572518706,1.9902827856676467e-4,0.012509403155156818,0.002249309193947885,2.6068152909992047e-5,0.002284066731161208,5.71016682790302e-4,1.7296012565677264e-4,0.010225336423995611,0.0016782925111575831
CZ08,66994,869,48043,4296,82101,933,52923,5677,1340943,3240,799446,120009,15107,64,4880,1381,0,0,0,0,1427840,4202,853815,125811,4796,29,1446,125,0.04976182459608868,3.86869171046761e-4,0.02194456285027624,0.0023539724373338286,2.6537649460871066e-5,0.0020234957713914188,5.726327172728584e-4,3.603315215858899e-4,0.019921067078884823,0.0017813397200609703
CZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE,5334430,404480,3442090,1260200,11217580,1537630,6649170,2408050,75986520,2945780,38350450,14232400,5883150,1133160,3207070,1147850,425690,61250,284720,74520,90395600,4731350,46912440,17265280,2765770,186690,1628120,550310,0.08934075818367408,0.009652133863997835,0.04173870106883872,0.015116003818343807,0.007113162470378301,0.02013167598915964,0.007205375711835692,0.0025390341664183478,0.021606962306880268,0.007910628106508114
