region,year_gdp,log_gdp
AL,2007,9.082539954468764
AL,2008,9.06672978305284
AL,2009,9.104605341752086
AL,2010,9.134357412362338
AL,2011,9.16803915895148
AL,2012,9.172156561053928
AL,2013,9.207195431832105
AL,2014,9.236408623307414
AL,2015,9.279852441989583
AL,2016,9.355223958918618
AL,2017,9.459389458529179
AL,2018,9.528996264476909
AL0,2007,9.082539954468764
AL0,2008,9.06672978305284
AL0,2009,9.104605341752086
AL0,2010,9.134357412362338
AL0,2011,9.16803915895148
AL0,2012,9.172156561053928
AL0,2013,9.207195431832105
AL0,2014,9.236408623307414
AL0,2015,9.279852441989583
AL0,2016,9.355223958918618
AL0,2017,9.459389458529179
AL0,2018,9.528996264476909
AL01,2007,7.639964506262357
AL01,2008,7.636124805251843
AL01,2009,7.70756163158056
AL01,2010,7.7028180482469795
AL01,2011,7.739559443849773
AL01,2012,7.730469128024498
AL01,2013,7.7365035837936205
AL01,2014,7.791006156778092
AL01,2015,7.843527017810743
AL01,2016,7.903599983733817
AL01,2017,7.991203167130474
AL01,2018,8.060524258602202
AL02,2007,8.344512214537286
AL02,2008,8.331771634583484
AL02,2009,8.34547442584421
AL02,2010,8.341696293569381
AL02,2011,8.365113698533031
AL02,2012,8.37079769559536
AL02,2013,8.419598002966962
AL02,2014,8.484068579224205
AL02,2015,8.527290046187717
AL02,2016,8.637649982733391
AL02,2017,8.75266681401131
AL02,2018,8.823060407271544
AL03,2007,7.829471267501357
AL03,2008,7.798436878389864
AL03,2009,7.847930492118437
AL03,2010,7.958069782242495
AL03,2011,8.004282061159225
AL03,2012,8.016189177347915
AL03,2013,8.05295530826448
AL03,2014,8.009120441679784
AL03,2015,8.045565844654403
AL03,2016,8.074642848397204
AL03,2017,8.1734795993524
AL03,2018,8.241916519474913
AT,1999,12.271890722686669
AT,2000,12.303766708897562
AT,2001,12.331538183934537
AT,2002,12.35389963001888
AT,2003,12.398131061548964
AT,2004,12.445384896081332
AT,2005,12.498087007548888
AT,2006,12.556651943712067
AT,2007,12.590524888299443
AT,2008,12.570868594660359
AT,2009,12.597765483136268
AT,2010,12.644742522617328
AT,2011,12.671858140944853
AT,2012,12.68822159586457
AT,2013,12.716336321433035
AT,2014,12.749179275597207
AT,2015,12.787192553578004
AT,2016,12.819532119979403
AT,2017,12.862099176259408
AT,2018,12.892996853498277
AT,2019,12.846136931322631
AT1,1999,11.472003569626718
AT1,2000,11.502078144942528
AT1,2001,11.532614752510367
AT1,2002,11.549449082690883
AT1,2003,11.590739290530482
AT1,2004,11.628684141883287
AT1,2005,11.681683282072077
AT1,2006,11.734683336673735
AT1,2007,11.771062267838898
AT1,2008,11.759429854652188
AT1,2009,11.783824664574416
AT1,2010,11.822406332813017
AT1,2011,11.843305611004894
AT1,2012,11.857416465198817
AT1,2013,11.881285827685517
AT1,2014,11.913113138552434
AT1,2015,11.95674501369004
AT1,2016,11.98171811127201
AT1,2017,12.023440380471405
AT1,2018,12.056674554241532
AT1,2019,12.013944965484635
AT11,1999,8.475768932237694
AT11,2000,8.509023913546157
AT11,2001,8.556023443734222
AT11,2002,8.582121011767036
AT11,2003,8.637023906922298
AT11,2004,8.651837714281358
AT11,2005,8.683336245832727
AT11,2006,8.745602852402946
AT11,2007,8.765614549914716
AT11,2008,8.770532235445472
AT11,2009,8.809619492198717
AT11,2010,8.855460957965523
AT11,2011,8.904552711442268
AT11,2012,8.927887271258637
AT11,2013,8.953786096786478
AT11,2014,8.992252767793493
AT11,2015,9.030228771429057
AT11,2016,9.073121044414616
AT11,2017,9.101062192284251
AT11,2018,9.131726726040672
AT11,2019,9.096231702560647
AT12,1999,10.420310357209457
AT12,2000,10.43757100398316
AT12,2001,10.458121236088587
AT12,2002,10.483404162975617
AT12,2003,10.543392171700354
AT12,2004,10.576140401627711
AT12,2005,10.632493551408453
AT12,2006,10.705042401464944
AT12,2007,10.743926947324795
AT12,2008,10.718854135730261
AT12,2009,10.742592009911025
AT12,2010,10.789552451753407
AT12,2011,10.815822470485251
AT12,2012,10.829136955118587
AT12,2013,10.859948162348731
AT12,2014,10.894595547814625
AT12,2015,10.925413522328494
AT12,2016,10.971776878733289
AT12,2017,11.009840967885344
AT12,2018,11.049207797604446
AT12,2019,10.994150999368278
AT13,1999,10.962309605904002
AT13,2000,10.999479912185455
AT13,2001,11.03431546694957
AT13,2002,11.045567293413576
AT13,2003,11.074879467211018
AT13,2004,11.117871819001618
AT13,2005,11.170706246035797
AT13,2006,11.211346611330704
AT13,2007,11.247577323165292
AT13,2008,11.24259583100964
AT13,2009,11.266130152941347
AT13,2010,11.299086615343445
AT13,2011,11.314250964672999
AT13,2012,11.328012834241596
AT13,2013,11.347458311374707
AT13,2014,11.376927375405884
AT13,2015,11.428916811653849
AT13,2016,11.439070399294506
AT13,2017,11.484359412789233
AT13,2018,11.51399659110975
AT13,2019,11.478269111261772
AT2,1999,10.58424656563246
AT2,2000,10.613201247469647
AT2,2001,10.633765764384272
AT2,2002,10.660302719177933
AT2,2003,10.712352971859099
AT2,2004,10.759771771525157
AT2,2005,10.806721615882044
AT2,2006,10.876220808729133
AT2,2007,10.903459656415896
AT2,2008,10.874135589917847
AT2,2009,10.899665410750902
AT2,2010,10.951070547053277
AT2,2011,10.980669680193289
AT2,2012,10.98886903212806
AT2,2013,11.020764402848648
AT2,2014,11.04195448799451
AT2,2015,11.076556359751464
AT2,2016,11.118550285651523
AT2,2017,11.151500974054654
AT2,2018,11.189217931771456
AT2,2019,11.146062513364003
AT21,1999,9.423741418839821
AT21,2000,9.440184623372604
AT21,2001,9.47054461296403
AT21,2002,9.49475586496188
AT21,2003,9.53775384446619
AT21,2004,9.586595663606854
AT21,2005,9.631080881476628
AT21,2006,9.702853745282487
AT21,2007,9.726913248599454
AT21,2008,9.690162516457097
AT21,2009,9.716076667050995
AT21,2010,9.772710648536552
AT21,2011,9.78537214915171
AT21,2012,9.792994443181037
AT21,2013,9.82118253777458
AT21,2014,9.837197097658443
AT21,2015,9.857125238751358
AT21,2016,9.898987442211205
AT21,2017,9.946896118993145
AT21,2018,9.974657319532442
AT21,2019,9.937746940180881
AT22,1999,10.208348224296682
AT22,2000,10.24296028316958
AT22,2001,10.259104286768416
AT22,2002,10.28669648586065
AT22,2003,10.342819967289175
AT22,2004,10.38963700857653
AT22,2005,10.437654241817736
AT22,2006,10.50613683068871
AT22,2007,10.53479629677979
AT22,2008,10.508765078800918
AT22,2009,10.534125884113038
AT22,2010,10.583214584381432
AT22,2011,10.620253598694708
AT22,2012,10.62870324745155
AT22,2013,10.662201709567109
AT22,2014,10.685589990358968
AT22,2015,10.726409359151502
AT22,2016,10.768483095284095
AT22,2017,10.79509678675814
AT22,2018,10.837024509638445
AT22,2019,10.79124299819746
AT3,1999,11.264490771982846
AT3,2000,11.300096905734971
AT3,2001,11.328126882880577
AT3,2002,11.355206760640765
