NUTS3,UKD44,Lancaster and Wyre,"2,801","2,860","2,868","2,938","3,159","3,457","3,684","3,899","4,124","4,246","4,310","3,940","4,047","4,201","4,281","4,684","4,776","4,841","4,987","4,944","5,122"
NUTS3,UKD45,Mid Lancashire,"6,619","6,881","7,088","7,395","7,912","8,589","8,949","9,207","9,662","10,227","10,374","10,103","10,403","11,052","11,515","11,408","11,951","12,549","13,385","13,703","14,113"
NUTS3,UKD46,East Lancashire,"4,350","4,663","4,788","4,966","5,099","5,486","5,805","6,043","6,196","6,400","6,351","5,758","5,932","6,333","6,386","6,762","7,040","7,527","7,790","7,780","8,041"
NUTS3,UKD47,Chorley and West Lancashire,"2,565","2,674","2,748","2,846","3,052","3,264","3,425","3,486","3,570","3,717","3,764","3,672","3,845","3,961","4,103","4,118","4,180","4,505","4,851","4,963","5,157"
NUTS2,UKD6,Cheshire,"17,381","18,665","19,239","20,671","21,316","21,042","22,446","23,929","25,024","26,447","26,896","26,400","27,762","27,262","29,094","30,623","32,367","32,434","34,428","36,092","37,427"
NUTS3,UKD61,Warrington,"3,899","4,005","4,155","4,570","4,765","4,911","5,060","5,363","5,673","5,990","6,111","5,550","5,812","6,011","6,201","6,587","7,008","7,490","7,571","8,061","8,145"
NUTS3,UKD62,Cheshire East,"6,327","6,607","6,854","7,996","8,268","8,158","8,982","9,513","10,188","10,466","10,548","10,076","10,499","10,904","11,855","12,378","13,419","13,274","14,450","14,937","15,853"
NUTS3,UKD63,Cheshire West and Chester,"7,156","8,052","8,229","8,106","8,283","7,972","8,403","9,053","9,164","9,992","10,238","10,774","11,451","10,347","11,038","11,658","11,940","11,669","12,407","13,093","13,428"
NUTS2,UKD7,Merseyside,"18,248","19,384","20,115","21,492","23,073","25,226","26,316","27,005","29,334","29,636","29,882","30,578","30,901","31,658","31,101","31,796","33,476","34,475","35,367","36,747","37,956"
NUTS3,UKD71,East Merseyside,"5,888","6,275","6,489","6,859","7,277","7,793","8,080","8,267","8,943","9,013","9,055","9,089","9,499","9,610","9,465","9,896","10,424","10,746","11,074","11,600","12,208"
NUTS3,UKD72,Liverpool,"6,565","6,965","7,317","7,787","8,373","9,241","9,776","10,338","11,293","11,368","11,725","12,281","12,257","12,504","12,351","12,575","13,287","13,595","13,911","14,255","14,850"
NUTS3,UKD73,Sefton,"2,512","2,731","2,838","3,013","3,286","3,503","3,666","3,739","3,985","4,049","3,955","4,074","4,158","4,074","3,977","4,106","4,294","4,347","4,662","4,795","4,916"
NUTS3,UKD74,Wirral,"3,283","3,413","3,472","3,832","4,138","4,690","4,793","4,661","5,113","5,206","5,147","5,134","4,987","5,470","5,309","5,220","5,471","5,788","5,720","6,096","5,982"
NUTS1,UKE,Yorkshire and The Humber,"70,749","73,251","75,791","79,199","83,980","89,652","94,353","98,825","103,908","109,510","109,853","107,418","109,309","112,982","115,890","119,483","123,292","128,234","131,876","137,406","141,698"
NUTS2,UKE1,East Yorkshire and Northern Lincolnshire,"13,251","13,803","14,470","14,633","15,791","16,881","17,545","18,265","19,568","20,348","20,915","20,494","20,546","20,486","20,576","20,907","21,668","22,594","23,012","24,246","24,727"
NUTS3,UKE11,"Kingston upon Hull, City of","3,737","3,792","4,025","4,168","4,491","4,837","4,896","5,151","5,632","5,697","6,153","6,149","5,865","5,765","5,787","5,897","6,006","6,260","6,494","6,740","6,859"
NUTS3,UKE12,East Riding of Yorkshire,"3,960","3,997","4,103","4,296","4,626","4,898","5,271","5,431","5,870","5,981","6,014","5,880","5,816","5,958","6,178","6,312","6,649","6,972","6,920","7,407","7,807"
NUTS3,UKE13,North and North East Lincolnshire,"5,554","6,014","6,342","6,169","6,674","7,146","7,378","7,683","8,066","8,669","8,749","8,466","8,865","8,763","8,612","8,697","9,013","9,362","9,598","10,099","10,061"
NUTS2,UKE2,North Yorkshire,"11,301","11,680","12,221","12,989","14,324","15,373","16,203","16,607","17,029","17,980","18,183","17,677","17,914","18,744","19,203","19,920","20,301","20,700","21,498","22,810","23,368"
NUTS3,UKE21,York,"3,386","3,517","3,689","3,947","4,380","4,763","5,145","5,247","5,193","5,463","5,450","5,231","5,395","5,690","5,886","6,073","6,201","6,215","6,408","6,702","7,050"
NUTS3,UKE22,North Yorkshire CC,"7,915","8,162","8,532","9,041","9,944","10,610","11,058","11,360","11,836","12,517","12,732","12,446","12,518","13,054","13,317","13,847","14,100","14,485","15,090","16,108","16,318"
NUTS2,UKE3,South Yorkshire,"15,208","15,321","15,915","16,853","17,932","19,052","20,116","20,917","22,184","23,643","23,305","22,760","23,741","24,616","25,356","26,256","27,086","28,073","28,942","30,183","31,010"
NUTS3,UKE31,"Barnsley, Doncaster and Rotherham","8,144","8,190","8,447","8,926","9,377","9,910","10,462","10,806","11,458","12,203","12,089","11,572","12,187","12,581","13,118","13,612","14,243","14,919","15,373","16,098","16,675"
NUTS3,UKE32,Sheffield,"7,064","7,131","7,468","7,927","8,555","9,142","9,654","10,111","10,725","11,440","11,216","11,189","11,554","12,035","12,238","12,644","12,843","13,153","13,569","14,085","14,334"
NUTS2,UKE4,West Yorkshire,"30,989","32,448","33,186","34,724","35,934","38,346","40,489","43,035","45,128","47,539","47,450","46,486","47,107","49,137","50,755","52,400","54,237","56,868","58,424","60,167","62,593"
NUTS3,UKE41,Bradford,"5,655","5,977","6,046","6,313","6,521","6,908","7,301","7,679","7,984","8,379","8,526","8,401","8,546","8,971","9,424","9,685","9,808","10,259","10,569","11,056","10,982"
NUTS3,UKE42,Leeds,"13,594","14,385","14,783","15,435","16,201","17,543","18,583","19,937","21,082","22,388","22,122","21,901","22,220","23,062","23,394","23,920","24,629","25,795","26,400","27,034","28,805"
